name,team,region,rank,rankValue,op.gg
Godllycookie,Brock Junior varsity,North,Gold 3,14,https://na.op.gg/summoner/userName=Godllycookie
PurePhoenix,Brock Junior varsity,North,Gold 4,13,https://na.op.gg/summoner/userName=PurePhoenix
zeWolfy,Brock Junior varsity,North,Gold 1,16,https://na.op.gg/summoner/userName=zeWolfy
Fråwt,Brock Junior varsity,North,Gold 3,14,https://na.op.gg/summoner/userName=Fråwt
PandaTwice,Brock Junior varsity,North,Gold 1,16,https://na.op.gg/summoner/userName=PandaTwice
H0BBES,Brock Junior varsity,North,Gold 3,14,https://na.op.gg/summoner/userName=H0BBES
xwalford,Brock Junior varsity,North,Gold 3,14,https://na.op.gg/summoner/userName=xwalford
Quickfoxyt,Brock Junior varsity,North,Gold 1,16,https://na.op.gg/summoner/userName=Quickfoxyt
Infłux,Brock Junior varsity,North,Gold 1,16,https://na.op.gg/summoner/userName=Infłux
kuroboo22,UCD Aggie Gold,South-west | 2,Gold 4,13,https://na.op.gg/summoner/userName=kuroboo22
Kunjie,UCD Aggie Gold,South-west | 2,Gold 2,15,https://na.op.gg/summoner/userName=Kunjie
Nightluna,UCD Aggie Gold,South-west | 2,Gold 4,13,https://na.op.gg/summoner/userName=Nightluna
La Ruche7,UCD Aggie Gold,South-west | 2,Silver 1,12,https://na.op.gg/summoner/userName=La Ruche7
Pseudonomous,UCD Aggie Gold,South-west | 2,Gold 1,16,https://na.op.gg/summoner/userName=Pseudonomous
The Infamous JMB,UCD Aggie Gold,South-west | 2,NOT INPUT,-1,https://na.op.gg/summoner/userName=The Infamous JMB
xXC4N4D4Xx,UCD Aggie Gold,South-west | 2,Gold 4,13,https://na.op.gg/summoner/userName=xXC4N4D4Xx
Ghostofnoname,Cal Pizzly Bears,South-west | 1,NOT INPUT,-1,https://na.op.gg/summoner/userName=Ghostofnoname
Forepiay,Cal Pizzly Bears,South-west | 1,Gold 2,15,https://na.op.gg/summoner/userName=Forepiay
Firestar96,Cal Pizzly Bears,South-west | 1,Gold 3,14,https://na.op.gg/summoner/userName=Firestar96
Gelo,Cal Pizzly Bears,South-west | 1,Gold 1,16,https://na.op.gg/summoner/userName=Gelo
too spicy,Cal Pizzly Bears,South-west | 1,Gold 4,13,https://na.op.gg/summoner/userName=too spicy
TheGoodSamaritan,Cal Pizzly Bears,South-west | 1,Gold 1,16,https://na.op.gg/summoner/userName=TheGoodSamaritan
Sinnlos,UTSA Gold,Central | 1,Gold 1,16,https://na.op.gg/summoner/userName=Sinnlos
yasirq,UTSA Gold,Central | 1,Gold 3,14,https://na.op.gg/summoner/userName=yasirq
luisever,UTSA Gold,Central | 1,Gold 1,16,https://na.op.gg/summoner/userName=luisever
