teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
UCR C ONE,South-west | 2,/lol/teams/11245,Gold 4,13,10,1,21,5,Gold 1,16,"['Shybe', '5DemandsNot1Less', 'wynntastic', 'JJoon', 'Quantum Föam', 'Kant Kite', 'Bobthebuilder223']","https://na.op.gg/multi/query=Shybe,5DemandsNot1Less,wynntastic,JJoon,Quantum Föam,Kant Kite,Bobthebuilder223,",https://na.op.gg/multi/query=
UHM Gold,South-west | 2,/lol/teams/10974,Silver 1,12,9,2,19,5,Gold 3,14,"['Ryzae', 'Poobin', 'Magicgateway', 'Mrbenjamin69', 'misticalhearts', 'Aureleei', 'thirtiethspark5', 'Kuìro', 'Seratoh', 'cGxOqSean', 'Socheatha', 'Pxxxhub']","https://na.op.gg/multi/query=Ryzae,Poobin,Magicgateway,Mrbenjamin69,misticalhearts,Aureleei,thirtiethspark5,Kuìro,Seratoh,cGxOqSean,","https://na.op.gg/multi/query=Socheatha,Pxxxhub,"
UCD Aggie Gold,South-west | 2,/lol/teams/9701,Silver 1,12,8,3,18,7,Gold 3,14,"['The Infamous JMB', 'Pseudonomous', 'La Ruche7', 'xXC4N4D4Xx', 'kuroboo22', 'Kunjie', 'Nightluna']","https://na.op.gg/multi/query=The Infamous JMB,Pseudonomous,La Ruche7,xXC4N4D4Xx,kuroboo22,Kunjie,Nightluna,",https://na.op.gg/multi/query=
UCR C TWO,South-west | 2,/lol/teams/11241,Gold 2,15,7,2,16,5,Gold 2,15,"['Shybe', 'Anchan Mikan', 'Kangstaa', 'll Koreabo0ps ll', 'TheGreenPhoenix', 'Stratégy', 'YourLastBreath']","https://na.op.gg/multi/query=Shybe,Anchan Mikan,Kangstaa,ll Koreabo0ps ll,TheGreenPhoenix,Stratégy,YourLastBreath,",https://na.op.gg/multi/query=
UNR White,South-west | 2,/lol/teams/9611,Gold 3,14,6,5,13,11,Gold 2,15,"['MçÑööß', 'Sinsanity101', 'OozyRex', 'HDestroyer', 'Neko Neko Cat', 'Kumquat01', 'Ducks5700', 'GigaFrog', 'TheMewo', 'QuitNerfingZoe', 'WiIIiamMays']","https://na.op.gg/multi/query=MçÑööß,Sinsanity101,OozyRex,HDestroyer,Neko Neko Cat,Kumquat01,Ducks5700,GigaFrog,TheMewo,QuitNerfingZoe,","https://na.op.gg/multi/query=WiIIiamMays,"
UAT Esports Red,South-west | 2,/lol/teams/10481,Silver 4,9,5,6,10,13,Gold 4,13,"['Pixel', 'Avidity', 'Frowosty', 'theepic321', 'gay kirby', 'DraX Core Augur', 'Trlstana', 'x5il3ntdrag0nx', 'Titan4H', 'Pink boji']","https://na.op.gg/multi/query=Pixel,Avidity,Frowosty,theepic321,gay kirby,DraX Core Augur,Trlstana,x5il3ntdrag0nx,Titan4H,Pink boji,",https://na.op.gg/multi/query=
The Ginyu Force,South-west | 2,/lol/teams/9524,Silver 2,11,5,5,10,11,Gold 2,15,"['Ishe', 'DraagSlap', 'SGT Meaper', 'akiyamashin', 'King Charlz', 'SayuJisooli', 'Akana', 'Miss Lia', 'Seananigans', 'jfreak51', 'NeoDoomBot', 'ToyKnight75']","https://na.op.gg/multi/query=Ishe,DraagSlap,SGT Meaper,akiyamashin,King Charlz,SayuJisooli,Akana,Miss Lia,Seananigans,jfreak51,","https://na.op.gg/multi/query=NeoDoomBot,ToyKnight75,"
UA Ironcats - Gold,South-west | 2,/lol/teams/10604,Silver 2,11,4,6,8,12,Gold 3,14,"['Shatstained', 'Clive7', 'Ulfmor', 'SebbySenpai', 'Spiralzebra', 'SAQAR2009', 'Ázazél', 'Protactinian', 'Rain of Sand', 'OfStealth', 'jewbacabra27', 'BiggestDiqBandit', 'Runic Pegasus', 'DesertScorpiion', 'Lv50 Pikachu']","https://na.op.gg/multi/query=Shatstained,Clive7,Ulfmor,SebbySenpai,Spiralzebra,SAQAR2009,Ázazél,Protactinian,Rain of Sand,OfStealth,","https://na.op.gg/multi/query=jewbacabra27,BiggestDiqBandit,Runic Pegasus,DesertScorpiion,Lv50 Pikachu,"
UCSC Scrubs,South-west | 2,/lol/teams/11339,Silver 1,12,3,8,8,17,Gold 4,13,"['The Dark Guy 13', 'LoyalForever', 'Austin56', 'muhaiba', 'KShiro', 'Penguinmaster2']","https://na.op.gg/multi/query=The Dark Guy 13,LoyalForever,Austin56,muhaiba,KShiro,Penguinmaster2,",https://na.op.gg/multi/query=
Summoners Riff,South-west | 2,/lol/teams/10901,Silver 3,10,2,7,4,14,Gold 2,15,"['Candle King', 'CrustyNightmares', 'Kappaccino', 'Puff Plus Lotion', 'JulieaZjAbC', 'Cubase5', 'Not That New', 'AdminTaro', 'Rawr xD xD xD xD', 'Sammmi', 'Schmoel Cat']","https://na.op.gg/multi/query=Candle King,CrustyNightmares,Kappaccino,Puff Plus Lotion,JulieaZjAbC,Cubase5,Not That New,AdminTaro,Rawr xD xD xD xD,Sammmi,","https://na.op.gg/multi/query=Schmoel Cat,"
