teamName,region,link,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,rank,rankValue,playerList,opgg1,opgg2
Brock Junior varsity,North,/lol/teams/6146,11,0,22,1,Gold 1,16,Gold 2,15,"['xwalford', 'zeWolfy', 'Infłux', 'Quickfoxyt', 'PandaTwice', 'Godllycookie', 'H0BBES', 'Fråwt', 'PurePhoenix']","https://na.op.gg/multi/query=xwalford,zeWolfy,Infłux,Quickfoxyt,PandaTwice,Godllycookie,H0BBES,Fråwt,PurePhoenix,",https://na.op.gg/multi/query=
UCD Aggie Gold,South-west | 2,/lol/teams/9701,8,3,18,7,Gold 3,14,Silver 1,12,"['The Infamous JMB', 'Pseudonomous', 'La Ruche7', 'xXC4N4D4Xx', 'kuroboo22', 'Kunjie', 'Nightluna']","https://na.op.gg/multi/query=The Infamous JMB,Pseudonomous,La Ruche7,xXC4N4D4Xx,kuroboo22,Kunjie,Nightluna,",https://na.op.gg/multi/query=
Cal Pizzly Bears,South-west | 1,/lol/teams/10085,9,3,20,7,Gold 2,15,Gold 4,13,"['TheGoodSamaritan', 'too spicy', 'Forepiay', 'Firestar96', 'Ghostofnoname', 'Gelo', 'Th3Magus', 'Tank Jagdtiger', 'SonicBoom']","https://na.op.gg/multi/query=TheGoodSamaritan,too spicy,Forepiay,Firestar96,Ghostofnoname,Gelo,Th3Magus,Tank Jagdtiger,SonicBoom,",https://na.op.gg/multi/query=
UTSA Gold,Central | 1,/lol/teams/10283,9,3,20,7,Gold 1,16,Gold 4,13,"['Mespai', 'Virchek', 'TheshackledOne', 'Sinnlos', 'SNACC Ramen Toe', 'Vinhilla', 'VenomStriker5', 'luisever', 'Reptune', 'yasirq', 'Eberron', 'oOZeqOo', 'EtherealLunar']","https://na.op.gg/multi/query=Mespai,Virchek,TheshackledOne,Sinnlos,SNACC Ramen Toe,Vinhilla,VenomStriker5,luisever,Reptune,yasirq,","https://na.op.gg/multi/query=Eberron,oOZeqOo,EtherealLunar,"
UMBC Funky Fellas,North-east | 3,/lol/teams/11033,7,4,15,8,Gold 2,15,Gold 3,14,"['zonicboom', 'YikesItsWykes', 'GrandG1331', 'OtterGeneral', 'Datalor', 'Dast', 'jùju', 'Kaimanaa', 'Bluephoenix176']","https://na.op.gg/multi/query=zonicboom,YikesItsWykes,GrandG1331,OtterGeneral,Datalor,Dast,jùju,Kaimanaa,Bluephoenix176,",https://na.op.gg/multi/query=
EGDCollective - Team Alpha,North-east | 4,/lol/teams/10236,9,2,18,5,Gold 2,15,Gold 4,13,"['KaiIIou', 'Rodek', 'Kendyfun', '88Ryzing', 'A Dandy Guy', 'MY JG FK SKS', 'FluffyDay', 'SouperPlatypus', 'Lunagray', 'musik2love']","https://na.op.gg/multi/query=KaiIIou,Rodek,Kendyfun,88Ryzing,A Dandy Guy,MY JG FK SKS,FluffyDay,SouperPlatypus,Lunagray,musik2love,",https://na.op.gg/multi/query=
UB Team C,North-east | 4,/lol/teams/11243,7,4,14,8,Gold 2,15,Silver 2,11,"['Nejisense651', 'BlurryFlurry', 'rThSoNancy', 'Bronxsciencenerd', 'Oblivion Walker8', 'Master9000', 'Geobird', 'jaay', 'crybabyezreal', 'Lil Dev', 'NietzchesLeachie', 'Seihiro']","https://na.op.gg/multi/query=Nejisense651,BlurryFlurry,rThSoNancy,Bronxsciencenerd,Oblivion Walker8,Master9000,Geobird,jaay,crybabyezreal,Lil Dev,","https://na.op.gg/multi/query=NietzchesLeachie,Seihiro,"
Baron Nassau V Orange,North-east | 5,/lol/teams/10782,10,2,21,4,Gold 1,16,Gold 4,13,"['JaggedLightning', 'juanjesusDH', 'ttv hydrm', 'Kev0ut', 'Kubtops', 'selepy', 'ElementiDragon', 'OreTenebrae', 'Surp69', 'olisboxer99']","https://na.op.gg/multi/query=JaggedLightning,juanjesusDH,ttv hydrm,Kev0ut,Kubtops,selepy,ElementiDragon,OreTenebrae,Surp69,olisboxer99,",https://na.op.gg/multi/query=
NJIT C,North-east | 5,/lol/teams/7771,6,4,13,9,Gold 3,14,Silver 2,11,"['Resvoir', 'Øctave', 'CaitdidJFK', 'trindomeer', 'Kil13rofDeath', 'Dawnpression nya', 'Aquiii', 'Yassuo1Trk', 'ddemartini', 'chomp1110', 'nickwre']","https://na.op.gg/multi/query=Resvoir,Øctave,CaitdidJFK,trindomeer,Kil13rofDeath,Dawnpression nya,Aquiii,Yassuo1Trk,ddemartini,chomp1110,","https://na.op.gg/multi/query=nickwre,"
MNSU Gold,Central | 4,/lol/teams/9794,8,2,17,4,Gold 2,15,Gold 4,13,"['Ewook', 'x lolcats', 'Louii', 'Vict0rRe4Me', 'Mmclle', 'BALMAIN Paris', 'L9 PREDAT0R', 'TinyMidget168', 'trippleDragon', 'dekangyan54', 'Jayˆ']","https://na.op.gg/multi/query=Ewook,x lolcats,Louii,Vict0rRe4Me,Mmclle,BALMAIN Paris,L9 PREDAT0R,TinyMidget168,trippleDragon,dekangyan54,","https://na.op.gg/multi/query=Jayˆ,"
