teamName,region,link,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,rank,rankValue,playerList,opgg1,opgg2
GMU Open League Team,East,/lol/teams/10616,12,0,24,2,Diamond 3,22,Platinum 4,17,"['Surej', 'BathWaterBuyer69', 'Cydesus', 'Deathfire Grasp', 'ILVBOBA', 'grayy', 'MadPanda007', 'Chengz', 'Monsieur Seasalt', 'SirLongstride', 'Jer l3ear']","https://na.op.gg/multi/query=Surej,BathWaterBuyer69,Cydesus,Deathfire Grasp,ILVBOBA,grayy,MadPanda007,Chengz,Monsieur Seasalt,SirLongstride,","https://na.op.gg/multi/query=Jer l3ear,"
GCU Lopes JV,South-west | 4,/lol/teams/9792,9,2,19,5,Platinum 1,20,Platinum 1,20,"['Swagnar', 'skeletor321', 'SwitchNitch', 'TheRadDrew', 'Suffer More', 'Ghetti']","https://na.op.gg/multi/query=Swagnar,skeletor321,SwitchNitch,TheRadDrew,Suffer More,Ghetti,",https://na.op.gg/multi/query=
GVSU Laker Legends B Team,North-east | 2,/lol/teams/9900,9,3,18,7,Diamond 4,21,Platinum 4,17,"['KiwiSocks', 'Whalis', 'MIkeTheDemonic', 'TeémøBØT', 'cookie52002', 'xAGEofMYTHx', 'boc', 'GVSU Chad', 'rk231', 'Tillo', 'Tamikaze', 'nolanugget']","https://na.op.gg/multi/query=KiwiSocks,Whalis,MIkeTheDemonic,TeémøBØT,cookie52002,xAGEofMYTHx,boc,GVSU Chad,rk231,Tillo,","https://na.op.gg/multi/query=Tamikaze,nolanugget,"
UTA Esports Aurora,Central | 4,/lol/teams/10094,9,2,19,6,Diamond 3,22,Platinum 1,20,"['jabbR', 'Semper Amicissim', 'Taste of Italy', 'Sir Squeeble II', 'CeIeb', 'Neiman', 'SilverPerry', 'RebornDominator', 'EmadTheTurk', 'Kalvin Nguyen']","https://na.op.gg/multi/query=jabbR,Semper Amicissim,Taste of Italy,Sir Squeeble II,CeIeb,Neiman,SilverPerry,RebornDominator,EmadTheTurk,Kalvin Nguyen,",https://na.op.gg/multi/query=
Shenzi's Frenzies,North-east | 5,/lol/teams/11375,4,4,8,8,Diamond 4,21,Platinum 1,20,"['DezQue', 'CloneEngi', 'Blue Psyduck', 'Rem', 'Vinçent', 'Dudebay', 'Stewfish', '29rosebud', 'ThatOneDan']","https://na.op.gg/multi/query=DezQue,CloneEngi,Blue Psyduck,Rem,Vinçent,Dudebay,Stewfish,29rosebud,ThatOneDan,",https://na.op.gg/multi/query=
Malefic Visions,North-east | 1,/lol/teams/9115,10,1,20,3,Diamond 2,23,Diamond 3,22,"['sammystinky', 'KartGu', 'Towd47', 'Snowﬂake', 'Hiratechi', 'lil kahuna', 'ok that was epic', 'Digimonlove', 'Rashnar', 'helper08']","https://na.op.gg/multi/query=sammystinky,KartGu,Towd47,Snowﬂake,Hiratechi,lil kahuna,ok that was epic,Digimonlove,Rashnar,helper08,",https://na.op.gg/multi/query=
SFU Open League,North-west | 2,/lol/teams/11364,8,4,18,8,Diamond 3,22,Diamond 4,21,"['aMayZheng', 'SupremeKangaroo', 'i am wei', 'Scotiabank', 'the84io', 'pul', 'hi im hungry', 'Souliess']","https://na.op.gg/multi/query=aMayZheng,SupremeKangaroo,i am wei,Scotiabank,the84io,pul,hi im hungry,Souliess,",https://na.op.gg/multi/query=
ETS Frost,North-east | 8,/lol/teams/10831,11,1,23,2,Diamond 3,22,Diamond 3,22,"['Sir Nathaniel', 'Xelsaid', 'ƒencekeeper', 'Pereira04', 'Senketsu13', 'Legomath', 'WoldieNA']","https://na.op.gg/multi/query=Sir Nathaniel,Xelsaid,ƒencekeeper,Pereira04,Senketsu13,Legomath,WoldieNA,",https://na.op.gg/multi/query=
Team Pepega,North | 1,/lol/teams/9983,6,3,14,6,Diamond 3,22,Diamond 3,22,"['Derry', 'AuDigger', 'Outlet', 'Tellur', 'ooogaboooga']","https://na.op.gg/multi/query=Derry,AuDigger,Outlet,Tellur,ooogaboooga,",https://na.op.gg/multi/query=
UCR PARADOX,South-west | 3,/lol/teams/10554,9,2,19,4,Diamond 3,22,Platinum 1,20,"['Shybe', 'Alceous', 'AlienMV', 'Sad Sloth', 'Głace', 'im in love', 'Rolandwu', 'Destined Rice', 'Pháráh']","https://na.op.gg/multi/query=Shybe,Alceous,AlienMV,Sad Sloth,Głace,im in love,Rolandwu,Destined Rice,Pháráh,",https://na.op.gg/multi/query=
Arizona State C,South-west | 4,/lol/teams/11231,9,2,18,6,Diamond 1,24,Platinum 1,20,"['mikemilo135', 'Whosdisguy', 'yomihime', 'Call Me Dunk', 'Catholit', 'Red XP', 'Nisanov', 'ƒüü', 'Stian']","https://na.op.gg/multi/query=mikemilo135,Whosdisguy,yomihime,Call Me Dunk,Catholit,Red XP,Nisanov,ƒüü,Stian,",https://na.op.gg/multi/query=
