Region Name,All Teams,All Teams #,2 Best Teams,2 Best Teams #,4 Best Teams,4 Best Teams #,6 Best Teams,6 Best Teams #,8 Best Teams,8 Best Teams #,10 Best Teams,10 Best Teams #
South-west | 2,Gold 2,15,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15,Gold 2,15
South-west | 1,Gold 3,14,Gold 1,16,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15
South-east,Gold 3,14,Gold 2,15,Gold 2,15,Gold 2,15,Gold 2,15,Gold 2,15
North-west,Gold 3,14,Gold 2,15,Gold 2,15,Gold 2,15,Gold 2,15,Gold 2,15
North-east | 5,Gold 3,14,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15,Gold 3,14
North-east | 4,Gold 3,14,Gold 1,16,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15
North-east | 3,Gold 3,14,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15,Gold 2,15
North-east | 2,Silver 1,12,Gold 1,16,Gold 2,15,Gold 2,15,Gold 3,14,Gold 4,13
North-east | 1,Gold 4,13,Gold 1,16,Gold 2,15,Gold 2,15,Gold 2,15,Gold 3,14
North,Gold 4,13,Gold 1,16,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15
East,Gold 3,14,Gold 1,16,Gold 2,15,Gold 2,15,Gold 2,15,Gold 3,14
Central | 4,Gold 4,13,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15,Gold 3,14
Central | 3,Gold 3,14,Gold 1,16,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15
Central | 2,Gold 3,14,Gold 1,16,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15
Central | 1,Gold 3,14,Gold 1,16,Gold 1,16,Gold 2,15,Gold 2,15,Gold 2,15
