UHM Green,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=Jhineral
UHM Green,South-west | 4,Platinum 2,19,https://na.op.gg/summoner/userName=Ryzae
UHM Green,South-west | 4,Diamond 2,23,https://na.op.gg/summoner/userName=Top the Dog
UHM Green,South-west | 4,Platinum 2,19,https://na.op.gg/summoner/userName=edgy eboy
UHM Green,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Vöcàrê
UHM Green,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=tofu tofu
UHM Green,South-west | 4,Diamond 2,23,https://na.op.gg/summoner/userName=Nae hero
UHM Green,South-west | 4,Silver 2,11,https://na.op.gg/summoner/userName=yukimochi
UHM Green,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=RickyDubs
UA Ironcats - Open ,South-west | 4,Gold 1,16,https://na.op.gg/summoner/userName=Laelaps
UA Ironcats - Open ,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=SOLOKOH
UA Ironcats - Open ,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Clive7
UA Ironcats - Open ,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=The Skÿ
UA Ironcats - Open ,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=OfStealth
UA Ironcats - Open ,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Łuke
UA Ironcats - Open ,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=artip71
UA Ironcats - Open ,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=BiggestDiqBandit
UA Ironcats - Open ,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=faime
UA Ironcats - Open ,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=MegaEpicGamer
GCU Lopes JV ,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=Swagnar
GCU Lopes JV ,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=skeletor321
GCU Lopes JV ,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=SwitchNitch
GCU Lopes JV ,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=TheRadDrew
GCU Lopes JV ,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Suffer More
GCU Lopes JV ,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Ghetti
The Legends of UVUJV,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=Slippedgiant755
The Legends of UVUJV,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=Dylax
The Legends of UVUJV,South-west | 4,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Mormon Ludicolo
The Legends of UVUJV,South-west | 4,Diamond 2,23,https://na.op.gg/summoner/userName=SKT T1 WooSeok
The Legends of UVUJV,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=NK Medraut
The Legends of UVUJV,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=JIMIN KO
Claw JV Team,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=Filo Shepherd
Claw JV Team,South-west | 4,Gold 1,16,https://na.op.gg/summoner/userName=GlacialReaper
Claw JV Team,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=crazipeng15
Claw JV Team,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=TenaciousTahm
Claw JV Team,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=PHD In Yasuo
Claw JV Team,South-west | 4,Platinum 1,20,https://na.op.gg/summoner/userName=WorldsBestPlayer
Claw JV Team,South-west | 4,Platinum 1,20,https://na.op.gg/summoner/userName=I DR PEPPER U
Arizona State C ,South-west | 4,Diamond 1,24,https://na.op.gg/summoner/userName=Amphy
Arizona State C ,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=mikemilo135
