Team Name,Team Region,5 Best Players,5 Best Players Number,All Players,All Players Number
UHM Green,South-west | 4,Diamond 3,22.0,Platinum 2,19.0
SFU Academy White,South-west | 4,Platinum 1,20.0,Gold 1,16.0
Big Blue Esports,South-west | 4,Platinum 3,18.0,Platinum 4,17.0
Molloy Esports Open,South-west | 4,Platinum 4,17.0,Gold 1,16.0
San Jose State Yoshi,South-west | 4,Platinum 1,20.0,Gold 1,16.0
CAL Teddy Bears,South-west | 4,Platinum 2,19.0,Platinum 4,17.0
Club Sandwitch,South-west | 4,Gold 4,13.0,Gold 4,13.0
CAL POLAR BEARS,South-west | 4,Diamond 4,21.0,Platinum 3,18.0
Kryzlx Esports,South-west | 4,Diamond 3,22.0,Platinum 4,17.0
Wayne Warriors - Green,South-west | 4,Diamond 4,21.0,Gold 1,16.0
University of Houston Polaris,South-west | 4,Platinum 3,18.0,Platinum 4,17.0
CMCC Team A,South-west | 4,Platinum 3,18.0,Gold 2,15.0
Tulsa Golden Hurricane,South-west | 3,Platinum 3,18.0,Platinum 4,17.0
SVU Knights Open,South-west | 3,Silver 1,12.0,Bronze 2,7.0
NJIT B,South-west | 3,Platinum 3,18.0,Gold 1,16.0
St. Ambrose LoL Bees,South-west | 3,Platinum 2,19.0,Gold 2,15.0
NKU Esports B,South-west | 3,Platinum 3,18.0,Gold 1,16.0
Five Man Mid,South-west | 3,Platinum 1,20.0,Gold 1,16.0
UNT Eagles Green,South-west | 3,Gold 1,16.0,Gold 3,14.0
Stockton Ospreys,South-west | 3,Diamond 4,21.0,Platinum 2,19.0
Golden Eagles LoL JV,South-west | 3,Platinum 3,18.0,Gold 1,16.0
SHU Open,South-west | 3,Platinum 3,18.0,Gold 1,16.0
Malefic Visions,South-west | 3,Diamond 3,22.0,Diamond 4,21.0
WUSTL Zoo,South-west | 3,Platinum 1,20.0,Platinum 3,18.0
NYU RED,South-west | 3,Platinum 3,18.0,Platinum 4,17.0
UBC Open Nexus,South-west | 2,Platinum 2,19.0,Platinum 3,18.0
MUES JV C,South-west | 2,Platinum 2,19.0,Gold 1,16.0
SDSU Junior Varsity B,South-west | 2,Diamond 3,22.0,Platinum 4,17.0
SDSU Junior Varsity A,South-west | 2,Diamond 4,21.0,Platinum 3,18.0
Silver Knights,South-west | 2,Gold 2,15.0,Silver 2,11.0
CSUSM B Team,South-west | 2,Gold 3,14.0,Gold 4,13.0
UBC Open Mid,South-west | 2,Diamond 3,22.0,Diamond 4,21.0
UMBC Underdogs,South-west | 2,Diamond 3,22.0,Diamond 4,21.0
Sole A Team of Johns Hopkins,South-west | 2,Platinum 3,18.0,Gold 3,14.0
