Team Name,Team Region,5 Best Players,5 Best Players Number,All Players,All Players Number
UW Baby Geese,North | 1,Master,25,Diamond 2,23
KRAZYINTER FANCLUB,Central | 4,Master,25,Diamond 4,21
Ember ETS,North-east | 8,Diamond 1,24,Diamond 2,23
McMaster Red,North | 1,Diamond 1,24,Platinum 2,19
Arizona State C ,South-west | 4,Diamond 2,23,Diamond 3,22
UofA Open,North-west | 2,Diamond 2,23,Platinum 2,19
RIT Esports JV,North-east | 6,Diamond 2,23,Diamond 3,22
UC LoL A Team,North-east | 4,Diamond 2,23,Diamond 3,22
Penn State Academy,North-east | 4,Diamond 2,23,Diamond 2,23
Western JV,North | 1,Diamond 2,23,Platinum 4,17
UNT Eagles White,Central | 4,Diamond 2,23,Diamond 3,22
UHM Green,South-west | 4,Diamond 3,22,Platinum 2,19
USC Varsity Gold Team,South-west | 3,Diamond 3,22,Platinum 4,17
SDSU Junior Varsity B,South-west | 3,Diamond 3,22,Platinum 4,17
CAL Panda Bears,South-west | 1,Diamond 3,22,Diamond 4,21
cwawa and four wards,North-west | 2,Diamond 3,22,Gold 1,16
UBC Open Top,North-west | 2,Diamond 3,22,Diamond 4,21
UBC Judr Group,North-west | 1,Diamond 3,22,Diamond 4,21
UBC Open Mid,North-west | 1,Diamond 3,22,Diamond 4,21
Kryzlx Esports,North-east | 7,Diamond 3,22,Platinum 4,17
Twenty Fourteen,North-east | 4,Diamond 3,22,Platinum 1,20
UMBC Underdogs,North-east | 3,Diamond 3,22,Diamond 4,21
Malefic Visions,North-east | 1,Diamond 3,22,Diamond 4,21
UNIVERSITY OF OTTAWA-DIV B TWO,North | 1,Diamond 3,22,Diamond 4,21
GMU Open League Team,East,Diamond 3,22,Platinum 3,18
UNC Division Two X,East,Diamond 3,22,Platinum 1,20
DePaul Blue Demons - II,Central | 6,Diamond 3,22,Platinum 1,20
SIUC A,Central | 6,Diamond 3,22,Platinum 1,20
Illinois Wesleyan Academy,Central | 6,Diamond 3,22,Diamond 4,21
Longhorn Gaming C Team,Central | 3,Diamond 3,22,Platinum 3,18
LSU Silver,Central | 3,Diamond 3,22,Platinum 3,18
LSU JV ,Central | 3,Diamond 3,22,Platinum 4,17
UCR PARADOX,South-west | 3,Diamond 4,21,Platinum 2,19
UCSC DT,South-west | 3,Diamond 4,21,Platinum 4,17
CSULB JV ONE,South-west | 2,Diamond 4,21,Platinum 3,18
CAL POLAR BEARS,South-west | 2,Diamond 4,21,Platinum 3,18
SDSU Junior Varsity A,South-west | 2,Diamond 4,21,Platinum 3,18
San Jose State Blue,South-west | 2,Diamond 4,21,Platinum 1,20
Bronco Esports Team Benton,South-west | 1,Diamond 4,21,Platinum 4,17
GT WidePeepoHappy,South-east | 2,Diamond 4,21,Diamond 4,21
MTSU eSports LOL Sub,South-east | 2,Diamond 4,21,Platinum 2,19
GCE Spurs XIX,South-east | 2,Diamond 4,21,Platinum 4,17
GT Black,South-east | 1,Diamond 4,21,Platinum 2,19
GT Gray,South-east | 1,Diamond 4,21,Platinum 2,19
UBC Open Bot,North-west | 2,Diamond 4,21,Platinum 2,19
SFU Open League,North-west | 2,Diamond 4,21,Platinum 1,20
Boise State University White,North-west | 2,Diamond 4,21,Platinum 1,20
ETS Frost,North-east | 8,Diamond 4,21,Diamond 4,21
UdeM E-Sports B,North-east | 8,Diamond 4,21,Platinum 3,18
SNHU Esports,North-east | 8,Diamond 4,21,Platinum 2,19
Div II McGill XIX,North-east | 8,Diamond 4,21,Platinum 2,19
Ets Spark,North-east | 7,Diamond 4,21,Diamond 4,21
RU SCREW,North-east | 7,Diamond 4,21,Platinum 1,20
Peanut Butter and Jealous,North-east | 6,Diamond 4,21,Platinum 3,18
NYU YELLOW,North-east | 6,Diamond 4,21,Platinum 2,19
Evan is Pepega,North-east | 5,Diamond 4,21,Platinum 2,19
Stockton Ospreys,North-east | 5,Diamond 4,21,Platinum 2,19
NYU Bluee,North-east | 5,Diamond 4,21,Platinum 4,17
NYU GREEN,North-east | 5,Diamond 4,21,Platinum 1,20
ONE TRICKS ONLY,North-east | 4,Diamond 4,21,Platinum 1,20
UMBC Little Pawgers,North-east | 3,Diamond 4,21,Platinum 4,17
UD VGTC JV Team,North-east | 3,Diamond 4,21,Platinum 1,20
MESC JV I Cee,North-east | 2,Diamond 4,21,Platinum 1,20
MESC JV I B,North-east | 2,Diamond 4,21,Platinum 1,20
OU Tempest,North-east | 2,Diamond 4,21,Platinum 2,19
Wayne Warriors - Green,North-east | 2,Diamond 4,21,Gold 1,16
MUwU,North-east | 2,Diamond 4,21,Platinum 1,20
Akron Zips Club Diamond ,North-east | 1,Diamond 4,21,Platinum 3,18
Team Pepega,North | 1,Diamond 4,21,Diamond 4,21
Redbird Esports Academy League,Central | 6,Diamond 4,21,Platinum 3,18
Northwestern Overcats,Central | 6,Diamond 4,21,Platinum 2,19
Cornell College Purple,Central | 5,Diamond 4,21,Gold 2,15
UTA Esports Aurora,Central | 4,Diamond 4,21,Platinum 2,19
OU okwahoma univewsity,Central | 2,Diamond 4,21,Platinum 4,17
CC Tigers,Central | 1,Diamond 4,21,Gold 1,16
Johnson County Cavaliers,Central | 1,Diamond 4,21,Platinum 3,18
Hardrocker Esports,Central | 1,Diamond 4,21,Platinum 1,20
GCU Lopes JV ,South-west | 4,Platinum 1,20,Platinum 2,19
San Jose State Yoshi,South-west | 1,Platinum 1,20,Gold 1,16
CAL Care Bears,South-west | 1,Platinum 1,20,Platinum 2,19
San Jose State Yellow,South-west | 1,Platinum 1,20,Platinum 2,19
UAH Charger White,South-east | 2,Platinum 1,20,Platinum 1,20
GCE Black II XIX,South-east | 2,Platinum 1,20,Platinum 2,19
VGC USF Alpha,South-east | 1,Platinum 1,20,Gold 1,16
Esports at Florida State Gold,South-east | 1,Platinum 1,20,Platinum 2,19
Esports at Florida State Black,South-east | 1,Platinum 1,20,Platinum 2,19
SFU Academy White,North-west | 2,Platinum 1,20,Gold 1,16
Uvic Ocean,North-west | 1,Platinum 1,20,Gold 3,14
SEATTLE UNIVERSITY ESPORTS,North-west | 1,Platinum 1,20,Gold 4,13
UVM Poro Legends,North-east | 8,Platinum 1,20,Gold 2,15
URI Royals,North-east | 8,Platinum 1,20,Gold 4,13
Bates Academics,North-east | 8,Platinum 1,20,Platinum 2,19
Jason bOrnn,North-east | 7,Platinum 1,20,Platinum 4,17
Five Man Mid,North-east | 7,Platinum 1,20,Gold 1,16
Shenzi's Frenzies,North-east | 5,Platinum 1,20,Platinum 2,19
Colgate University A,North-east | 5,Platinum 1,20,Gold 2,15
DCES,North-east | 5,Platinum 1,20,Platinum 4,17
Raj's Redemption,North-east | 4,Platinum 1,20,Platinum 3,18
UMD.OLoL,North-east | 3,Platinum 1,20,Platinum 2,19
GVSU Laker Legends B Team,North-east | 2,Platinum 1,20,Platinum 3,18
Michigan Dragon ,North-east | 2,Platinum 1,20,Gold 1,16
WLU - OpenLeague,North | 1,Platinum 1,20,Platinum 3,18
Fanshawe Fuel - LoL Open,North | 1,Platinum 1,20,Gold 3,14
University of Guelph B-Team,North | 1,Platinum 1,20,Gold 2,15
UNC Division Two Y,East,Platinum 1,20,Platinum 2,19
LOLUTD TEAM E VERSION TWO,Central | 5,Platinum 1,20,Gold 1,16
University of Houston Flame On,Central | 3,Platinum 1,20,Platinum 3,18
TEAM PEEPEEGA,Central | 3,Platinum 1,20,Platinum 3,18
LOLUTD TEAM PIRATES N DOTA,Central | 3,Platinum 1,20,Platinum 3,18
