Team Name,Region,CSL Link,Series Record,Series Wins,Series Losses,Game Record,Game Wins,Game Losses,Average Rank,Average Rank Number,First OP.GG,Second OP.GG
UHM Green,South-west | 4,https://cstarleague.com/lol/teams/10567,6 - 0,6,0,12 - 1,12,1,Platinum 2,19.0,"https://na.op.gg/multi/query=Jhineral,Ryzae,Top the Dog,edgy eboy,Vöcàrê,tofu tofu,Nae hero,yukimochi,RickyDubs,",
UA Ironcats - Open ,South-west | 4,https://cstarleague.com/lol/teams/10019,5 - 1,5,1,11 - 2,11,2,Gold 1,16.0,"https://na.op.gg/multi/query=Laelaps,SOLOKOH,Clive7,The Skÿ,OfStealth,Łuke,artip71,BiggestDiqBandit,faime,MegaEpicGamer,",
GCU Lopes JV ,South-west | 4,https://cstarleague.com/lol/teams/9792,5 - 0,5,0,10 - 1,10,1,Platinum 2,19.0,"https://na.op.gg/multi/query=Swagnar,skeletor321,SwitchNitch,TheRadDrew,Suffer More,Ghetti,",
The Legends of UVUJV,South-west | 4,https://cstarleague.com/lol/teams/10384,4 - 3,4,3,10 - 6,10,6,Gold 1,16.0,"https://na.op.gg/multi/query=Slippedgiant755,Dylax,Mormon Ludicolo,SKT T1 WooSeok,NK Medraut,JIMIN KO,",
Claw JV Team,South-west | 4,https://cstarleague.com/lol/teams/10965,4 - 3,4,3,9 - 6,9,6,Gold 1,16.0,"https://na.op.gg/multi/query=Filo Shepherd,GlacialReaper,crazipeng15,TenaciousTahm,PHD In Yasuo,WorldsBestPlayer,I DR PEPPER U,",
Arizona State C ,South-west | 4,https://cstarleague.com/lol/teams/11231,4 - 2,4,2,8 - 5,8,5,Diamond 3,22.0,"https://na.op.gg/multi/query=Amphy,mikemilo135,Whosdisguy,yomihime,Call Me Dunk,Thetruejungler,Red XP,Nisanov,HIYAAAAAAAAAAAAA,",
NAU Division Two Fall,South-west | 4,https://cstarleague.com/lol/teams/9245,3 - 1,3,1,6 - 3,6,3,Silver 1,12.0,"https://na.op.gg/multi/query=TRAKKPAD,TheToxic35,ToxiclyLoud,Tossed,curseblood,GORZOGTHEDEFILER,HighBionic,PartyLord906,",
ERAU Blue Wings,South-west | 4,https://cstarleague.com/lol/teams/4003,2 - 4,2,4,5 - 8,5,8,Gold 3,14.0,"https://na.op.gg/multi/query=Oreo 129,Ace75b,KatsumiKoniko,Expand Sand,ERGW Krønos,chowderzeclam,jinxmyloveQAQ,Ghost Barrels,Nickodemeus,Isekavo,",
USU JV,South-west | 4,https://cstarleague.com/lol/teams/10261,2 - 3,2,3,4 - 7,4,7,Gold 1,16.0,"https://na.op.gg/multi/query=King Babe T,Cododraco,TheEliteMadLife,Sol1tud3,Cubstep Cantstop,SavageBeast0519,",
Lopes Academy,South-west | 4,https://cstarleague.com/lol/teams/9793,2 - 4,2,4,4 - 9,4,9,Gold 1,16.0,"https://na.op.gg/multi/query=crashoverridee,Hoidini,OVERL0RD,ReasonToDream,sigh im gosu,Steel Draconian,Seraphim117,",
CGC LOL JUNIOR VARSITY,South-west | 4,https://cstarleague.com/lol/teams/9479,1 - 6,1,6,3 - 12,3,12,Gold 4,13.0,"https://na.op.gg/multi/query=SupaBeans,ROBOTUNIC0RN,THICC MONEY,Z0L,retnuh hunter,KoreanRiceField,",
ERAU White Wings,South-west | 4,https://cstarleague.com/lol/teams/4004,0 - 11,0,11,0 - 22,0,22,Platinum 2,19.0,"https://na.op.gg/multi/query=ERGW Krønos,",
USC Varsity Gold Team,South-west | 3,https://cstarleague.com/lol/teams/9224,5 - 1,5,1,10 - 3,10,3,Platinum 4,17.0,"https://na.op.gg/multi/query=Eilfennol,USC Ceus,Commack,Usc Coil,JoeJacko,Leade,USC Bao,Tiltproof Gandhi,USC Hovz,AlinaLife,",
Students Need Parking,South-west | 3,https://cstarleague.com/lol/teams/6323,5 - 1,5,1,10 - 3,10,3,Platinum 3,18.0,"https://na.op.gg/multi/query=Cyprez,hypermonkieboi,C9TaiIs,Cienega,TacosAndBurritoz,Trinhity Force,DULLAHAN,Phant,Oddity,SonglessRaven,","https://na.op.gg/multi/query=TheDevilIsBored,"
SDSU Junior Varsity B,South-west | 3,https://cstarleague.com/lol/teams/10864,5 - 0,5,0,10 - 1,10,1,Platinum 4,17.0,"https://na.op.gg/multi/query=MadLifeisgod,Conserved,Mithos the Hero,nekozi,PsycheGlitch,Jacksony,Lady Yunalesca,Spiripru,Iron man d1ed,",
UCR WEEBFY,South-west | 3,https://cstarleague.com/lol/teams/10375,4 - 1,4,1,8 - 3,8,3,Gold 1,16.0,"https://na.op.gg/multi/query=Shybe,DemonicxPancakes,Anxiety Syndrome,Gudao,penguinlord,sevarbiter,idk250,SlyLego,Whenever,BubbIicious,",
UCD Aggie Open,South-west | 3,https://cstarleague.com/lol/teams/9700,4 - 1,4,1,8 - 2,8,2,Platinum 3,18.0,"https://na.op.gg/multi/query=The Infamous JMB,Nattieon,Nyew,CHKN WINGWONG,UCD Open Mid,Hamori,ZØØMIES,TortugaDeLechuga,",
UCR PARADOX,South-west | 3,https://cstarleague.com/lol/teams/10554,2 - 3,2,3,7 - 6,7,6,Platinum 2,19.0,"https://na.op.gg/multi/query=Shybe,Alceous,AlienMV,Sad Sloth,Głace,im in love,Rolandwu,Destined Rice,180cm,",
UCSC DT,South-west | 3,https://cstarleague.com/lol/teams/10639,2 - 3,2,3,5 - 7,5,7,Platinum 4,17.0,"https://na.op.gg/multi/query=Eureka Thurston,WEG PandaTV10086,fäded flower,Da Boosted,GeGe,DT Fa1nT,",
UCSC Teal,South-west | 3,https://cstarleague.com/lol/teams/11281,2 - 3,2,3,4 - 7,4,7,Platinum 2,19.0,"https://na.op.gg/multi/query=GGitsRyan,screamingspirt,OryxTheMadHatter,the shy turtle,Lord Herpaderp,",
TFT Players,South-west | 3,https://cstarleague.com/lol/teams/11488,2 - 3,2,3,4 - 7,4,7,Platinum 3,18.0,"https://na.op.gg/multi/query=erikli2000,N0THINGPERSONAL,Strauby,Heuster,zhong lu dui ju,ReformdSKT Faker,",
