name,team,region,rank,rankValue,op.gg
Tonyhz,SBU monkaS,East 8,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Tonyhz
Naga Divine,LCS Bound,North 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Naga Divine
Fäkër,LCS Bound,North 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Fäkër
pakrat,LCS Bound,North 3,Diamond 3,22,https://na.op.gg/summoner/userName=pakrat
silver66winne61,LCS Bound,North 3,Unranked,0,https://na.op.gg/summoner/userName=silver66winne61
Raikazo,SBU monkaS,East 8,Unranked,0,https://na.op.gg/summoner/userName=Raikazo
Kuinfokkusuu,LCS Bound,North 3,Gold 3,14,https://na.op.gg/summoner/userName=Kuinfokkusuu
scrump,LCS Bound,North 3,Unranked,0,https://na.op.gg/summoner/userName=scrump
Kilzzy,SBU monkaS,East 8,Unranked,0,https://na.op.gg/summoner/userName=Kilzzy
Stress Life,LCS Bound,North 3,Gold 1,16,https://na.op.gg/summoner/userName=Stress Life
LU Iceman,Laurentian University - Blue,North 3,Unranked,0,https://na.op.gg/summoner/userName=LU Iceman
RoChStaR,Laurentian University - White,North 3,Unranked,0,https://na.op.gg/summoner/userName=RoChStaR
ikus,Laurentian University - Blue,North 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=ikus
MayMay,Laurentian University - Blue,North 3,Iron 1,4,https://na.op.gg/summoner/userName=MayMay
LU elitewatcher,Laurentian University - Blue,North 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=LU elitewatcher
LU Konan Kohai,Laurentian University - Blue,North 3,Gold 4,13,https://na.op.gg/summoner/userName=LU Konan Kohai
LU Crash,Laurentian University - Blue,North 3,Gold 4,13,https://na.op.gg/summoner/userName=LU Crash
LU Meister,Laurentian University - Blue,North 3,Silver 2,11,https://na.op.gg/summoner/userName=LU Meister
Rezathegreat,McMaster LoL C-Team,North 3,Unranked,0,https://na.op.gg/summoner/userName=Rezathegreat
Maanav,McMaster LoL C-Team,North 3,Unranked,0,https://na.op.gg/summoner/userName=Maanav
ahrikidding,McMaster LoL C-Team,North 3,Platinum 3,18,https://na.op.gg/summoner/userName=ahrikidding
cocosbubbletea,McMaster LoL C-Team,North 3,Silver 1,12,https://na.op.gg/summoner/userName=cocosbubbletea
chocofloat,McMaster LoL C-Team,North 3,Bronze 2,7,https://na.op.gg/summoner/userName=chocofloat
Www blacked com,McMaster LoL C-Team,North 3,Gold 3,14,https://na.op.gg/summoner/userName=Www blacked com
pyrpop,McMaster LoL C-Team,North 3,Unranked,0,https://na.op.gg/summoner/userName=pyrpop
Lutareus,McMaster LoL C-Team,North 3,Silver 2,11,https://na.op.gg/summoner/userName=Lutareus
4skinmuncher,McMaster LoL C-Team,North 3,Silver 1,12,https://na.op.gg/summoner/userName=4skinmuncher
Almighty Kermit,McMaster LoL C-Team,North 3,Silver 2,11,https://na.op.gg/summoner/userName=Almighty Kermit
Rotate2Win,McMaster LoL C-Team,North 3,Silver 3,10,https://na.op.gg/summoner/userName=Rotate2Win
JewishWannabe,WLU - OpenLeague,North 3,Gold 4,13,https://na.op.gg/summoner/userName=JewishWannabe
Vandrax,WLU - OpenLeague,North 3,Gold 4,13,https://na.op.gg/summoner/userName=Vandrax
Kaemi,WLU - OpenLeague,North 3,Platinum 2,19,https://na.op.gg/summoner/userName=Kaemi
BigWBurton,WLU - OpenLeague,North 3,Platinum 1,20,https://na.op.gg/summoner/userName=BigWBurton
Zedi,WLU - OpenLeague,North 3,Platinum 1,20,https://na.op.gg/summoner/userName=Zedi
Necrodra,WLU - OpenLeague,North 3,Unranked,0,https://na.op.gg/summoner/userName=Necrodra
VKC,WLU - OpenLeague,North 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=VKC
