teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
LCS Bound,North 3,/lol/teams/6682,Bronze 1,8,5,0,11,1,Silver 2,11,"['Raikazo', 'Tonyhz', 'silver66winne61', 'Kuinfokkusuu', 'Kilzzy', 'Naga Divine', 'pakrat', 'Fäkër', 'Stress Life', 'scrump']","https://na.op.gg/multi/query=Raikazo,Tonyhz,silver66winne61,Kuinfokkusuu,Kilzzy,Naga Divine,pakrat,Fäkër,Stress Life,scrump,",https://na.op.gg/multi/query=
Laurentian University - Blue,North 3,/lol/teams/5466,Bronze 3,6,5,1,11,3,Silver 4,9,"['RoChStaR', 'LU elitewatcher', 'MayMay', 'LU Iceman', 'ikus', 'LU Konan Kohai', 'LU Crash', 'LU Meister']","https://na.op.gg/multi/query=RoChStaR,LU elitewatcher,MayMay,LU Iceman,ikus,LU Konan Kohai,LU Crash,LU Meister,",https://na.op.gg/multi/query=
McMaster LoL C-Team,North 3,/lol/teams/6831,Silver 4,9,4,2,9,4,Gold 3,14,"['Rezathegreat', 'ahrikidding', 'pyrpop', '4skinmuncher', 'Maanav', 'cocosbubbletea', 'Lutareus', 'chocofloat', 'Almighty Kermit', 'Www blacked com', 'Rotate2Win']","https://na.op.gg/multi/query=Rezathegreat,ahrikidding,pyrpop,4skinmuncher,Maanav,cocosbubbletea,Lutareus,chocofloat,Almighty Kermit,Www blacked com,","https://na.op.gg/multi/query=Rotate2Win,"
WLU - OpenLeague,North 3,/lol/teams/6768,Silver 2,11,2,4,4,8,Platinum 2,19,"['Zedi', 'Reehahs', 'JewishWannabe', 'Necrodra', 'BigWBurton', 'VKC', 'FlamingMonkey77', 'Kaemi', 'Shibe', 'Vandrax', 'RZJ']","https://na.op.gg/multi/query=Zedi,Reehahs,JewishWannabe,Necrodra,BigWBurton,VKC,FlamingMonkey77,Kaemi,Shibe,Vandrax,","https://na.op.gg/multi/query=RZJ,"
UNIVERSITY OF OTTAWA DIV C TWO,North 3,/lol/teams/6931,Bronze 4,5,2,3,4,7,Bronze 3,6,"['Astrosexy', 'Frezzie', 'Strike Aegis', 'Demwafflez', 'Tamaki Seoh', 'kaptanx', 'Whack A Pingu', 'Party G']","https://na.op.gg/multi/query=Astrosexy,Frezzie,Strike Aegis,Demwafflez,Tamaki Seoh,kaptanx,Whack A Pingu,Party G,",https://na.op.gg/multi/query=
Laurentian University - White,North 3,/lol/teams/6770,Iron 2,3,2,4,4,8,Iron 1,4,"['RoChStaR', 'Keiane', 'OnceInANoobMoon', 'Franchement', 'RiceKrispies102', 'ZeBeAsT128', 'Adhesiveshoe129', 'I Fap To Riven']","https://na.op.gg/multi/query=RoChStaR,Keiane,OnceInANoobMoon,Franchement,RiceKrispies102,ZeBeAsT128,Adhesiveshoe129,I Fap To Riven,",https://na.op.gg/multi/query=
UNB eSports Academy,North 3,/lol/teams/6437,Unranked,0,0,6,0,12,Unranked,0,['Mainstream Media'],"https://na.op.gg/multi/query=Mainstream Media,",https://na.op.gg/multi/query=
University of Ottawa - Div C,North 2,/lol/teams/642,Bronze 4,5,6,0,12,0,Bronze 4,5,"['matisse999', 'TE TpRoject', 'JediMaster07', 'Frezzie', 'Thánós']","https://na.op.gg/multi/query=matisse999,TE TpRoject,JediMaster07,Frezzie,Thánós,",https://na.op.gg/multi/query=
Queen's Bear League,North 2,/lol/teams/6390,Bronze 1,8,5,1,10,3,Silver 1,12,"['A Furious Doctor', 'SuperNovaSqid', 'moffat', 'Shaper of Realms', 'Yung Scruff', 'A bag of bees', 'Symphonic Rain']","https://na.op.gg/multi/query=A Furious Doctor,SuperNovaSqid,moffat,Shaper of Realms,Yung Scruff,A bag of bees,Symphonic Rain,",https://na.op.gg/multi/query=
Brock Junior varsity,North 2,/lol/teams/6146,Silver 3,10,4,2,9,4,Gold 4,13,"['xwalford', 'zeWolfy', 'Infłux', 'Quickfoxyt', 'PandaTwice', 'Godllycookie', 'H0BBES', 'Fråwt', 'PurePhoenix']","https://na.op.gg/multi/query=xwalford,zeWolfy,Infłux,Quickfoxyt,PandaTwice,Godllycookie,H0BBES,Fråwt,PurePhoenix,",https://na.op.gg/multi/query=
