teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
LCS Bound,North 3,/lol/teams/6682,Bronze 1,8,5,0,11,1,Silver 2,11,"['Raikazo', 'Tonyhz', 'silver66winne61', 'Kuinfokkusuu', 'Kilzzy', 'Naga Divine', 'pakrat', 'Fäkër', 'Stress Life', 'scrump']","https://na.op.gg/multi/query=Raikazo,Tonyhz,silver66winne61,Kuinfokkusuu,Kilzzy,Naga Divine,pakrat,Fäkër,Stress Life,scrump,",https://na.op.gg/multi/query=
Infinite Horizon,West 4,/lol/teams/7328,Iron 3,2,2,5,4,10,Iron 2,3,"['IhaveGodandAnime', 'thecolorgray', 'CaptnKuhNuckles', 'dilladubstep16', 'LoyalForever', 'Kyoushiiro', 'tittytyson']","https://na.op.gg/multi/query=IhaveGodandAnime,thecolorgray,CaptnKuhNuckles,dilladubstep16,LoyalForever,Kyoushiiro,tittytyson,",https://na.op.gg/multi/query=
Kent State Club GOLD,Midwest 8,/lol/teams/6319,Bronze 2,7,6,1,12,2,Silver 3,10,"['TheBear259', 'Short Stop', 'IgnisEternus', 'Mortelle', 'OblivionShay', 'TwinkieDaKid', 'clankXgear', 'OPeeNess', 'Rabyrd', 'Winzig']","https://na.op.gg/multi/query=TheBear259,Short Stop,IgnisEternus,Mortelle,OblivionShay,TwinkieDaKid,clankXgear,OPeeNess,Rabyrd,Winzig,",https://na.op.gg/multi/query=
Uvic Vikings,West 1,/lol/teams/5520,Gold 4,13,4,2,8,5,Gold 4,13,"['loli teemo', 'SamwiseTheGamgee', 'Linzek', 'Loli Kaze', 'TheMightyMeercat']","https://na.op.gg/multi/query=loli teemo,SamwiseTheGamgee,Linzek,Loli Kaze,TheMightyMeercat,",https://na.op.gg/multi/query=
Clemson D team,East 1,/lol/teams/6622,Bronze 4,5,6,1,12,4,Bronze 3,6,"['HerndonChad', 'VG iSpartan', 'DevastatorXII', 'Otter King', 'r3cebarnett', 'ZBSkelton', 'accuracy114']","https://na.op.gg/multi/query=HerndonChad,VG iSpartan,DevastatorXII,Otter King,r3cebarnett,ZBSkelton,accuracy114,",https://na.op.gg/multi/query=
High Point University,East 1,/lol/teams/6418,Iron 2,3,1,4,3,8,Bronze 2,7,"['Tufenuf', 'The Technomancer', 'Quicksilvr2000', 'The Elemental VI', 'škÿy', 'TocadileSupreme', 'I Want Carter', 'Tillerr', 'PVT Icecube', 'WarWolvez', 'TheboyRory', 'Snakeye49', 'Linko320']","https://na.op.gg/multi/query=Tufenuf,The Technomancer,Quicksilvr2000,The Elemental VI,škÿy,TocadileSupreme,I Want Carter,Tillerr,PVT Icecube,WarWolvez,","https://na.op.gg/multi/query=TheboyRory,Snakeye49,Linko320,"
Journey to Varsity,East 8,/lol/teams/7194,Iron 2,3,5,2,10,5,Iron 1,4,"['Sylveous', 'Ka Laid', 'Pause Tech', 'UltraCrowder', 'Olyrral', 'Qwrqwr3']","https://na.op.gg/multi/query=Sylveous,Ka Laid,Pause Tech,UltraCrowder,Olyrral,Qwrqwr3,",https://na.op.gg/multi/query=
SFU Academy Blue,West 2,/lol/teams/6950,Silver 2,11,5,2,11,4,Gold 4,13,"['Incoming Nerf', 'Lullencia', 'ßread', 'Instalocker', 'Xeryn', 'littlebear8889', 'Gummiworm', 'Voltius']","https://na.op.gg/multi/query=Incoming Nerf,Lullencia,ßread,Instalocker,Xeryn,littlebear8889,Gummiworm,Voltius,",https://na.op.gg/multi/query=
UB League Team C,East 7,/lol/teams/7641,Bronze 1,8,7,0,14,2,Gold 3,14,"['it just a joke', 'Nami Fillet', 'rThSoNancy', 'Uth0n', 'Benisjammin', 'calesion', 'Bronxsciencenerd', 'SGFBPS10', 'Oblivion Walker8', 'ShiëId', 'PapaRobo']","https://na.op.gg/multi/query=it just a joke,Nami Fillet,rThSoNancy,Uth0n,Benisjammin,calesion,Bronxsciencenerd,SGFBPS10,Oblivion Walker8,ShiëId,","https://na.op.gg/multi/query=PapaRobo,"
KSU Rumble in the Jungle,South 3,/lol/teams/6625,Iron 2,3,2,2,5,4,Iron 1,4,"['WaifuGuy', 'TheWitherGolem', 'Danson14', 'BestSquidPope', 'Comfy Milk Tea', 'Pisexual', 'frantos']","https://na.op.gg/multi/query=WaifuGuy,TheWitherGolem,Danson14,BestSquidPope,Comfy Milk Tea,Pisexual,frantos,",https://na.op.gg/multi/query=
Fire Ant LoL,East 1,/lol/teams/6225,Unranked,0,7,0,14,0,Unranked,0,"['K P 6', 'Mentor VII']","https://na.op.gg/multi/query=K P 6,Mentor VII,",https://na.op.gg/multi/query=
UCB A,West 3,/lol/teams/7406,Bronze 1,8,5,2,11,6,Gold 4,13,"['Roflcopter', 'Haxfalcon', 'Akoduj', 'Endxny', 'SpellCasterSeth', 'lets BBBBB', 'NRG Baguette', 'too spicy', 'Valanthos']","https://na.op.gg/multi/query=Roflcopter,Haxfalcon,Akoduj,Endxny,SpellCasterSeth,lets BBBBB,NRG Baguette,too spicy,Valanthos,",https://na.op.gg/multi/query=
Two K Eighteen EU JV II,South 4,/lol/teams/6643,Bronze 3,6,5,2,10,4,Silver 3,10,"['Levin', 'Ridleh', 'Philius Cornhole', 'The Master J', 'MCMECHA', 'Fifth Quigle', 'KoixPelvis', 'WheeloFifty']","https://na.op.gg/multi/query=Levin,Ridleh,Philius Cornhole,The Master J,MCMECHA,Fifth Quigle,KoixPelvis,WheeloFifty,",https://na.op.gg/multi/query=
UMBC Division Three B,East 3,/lol/teams/7085,Bronze 4,5,2,2,5,4,Bronze 4,5,"['Game Mechanics', 'deoxys13', 'Linkool', 'Slide Whistle', 'Xx sombra xX', 'GrandG1331', 'needmorebones']","https://na.op.gg/multi/query=Game Mechanics,deoxys13,Linkool,Slide Whistle,Xx sombra xX,GrandG1331,needmorebones,",https://na.op.gg/multi/query=
Vanderbilt A,South 1,/lol/teams/7018,Bronze 3,6,7,0,14,0,Silver 1,12,"['AEgo Meltryllis', 'ephemerallove', 'Shuebacca', 'Dezicartso', 'All', 'bruxeinfinity', 'Péaches', 'feryquitous', 'Sagedasoutheast', 'madmeg42']","https://na.op.gg/multi/query=AEgo Meltryllis,ephemerallove,Shuebacca,Dezicartso,All,bruxeinfinity,Péaches,feryquitous,Sagedasoutheast,madmeg42,",https://na.op.gg/multi/query=
CSULB JV Two,West 4,/lol/teams/7042,Silver 4,9,5,1,11,4,Gold 1,16,"['Fairlyjosh', 'DeadlyNinja', 'TangoDown1337', 'May Yuki', 'Lvl98 Shuckle', 'Ruh Ro', 'Guyofmetal', 'H U N G O', 'IShadowFaxI', 'Synkit', 'lordblasterjoker', 'Resonator', 'Ashleyismash']","https://na.op.gg/multi/query=Fairlyjosh,DeadlyNinja,TangoDown1337,May Yuki,Lvl98 Shuckle,Ruh Ro,Guyofmetal,H U N G O,IShadowFaxI,Synkit,","https://na.op.gg/multi/query=lordblasterjoker,Resonator,Ashleyismash,"
Cloud Ten Gaming,Midwest 1,/lol/teams/7386,Bronze 1,8,6,1,12,3,Silver 1,12,"['will win', 'Kimchi Krusader', 'Wompfry', 'Quan Vi', 'Axgold', 'ban me idiot', 'Dagr', 'AlphaBraver']","https://na.op.gg/multi/query=will win,Kimchi Krusader,Wompfry,Quan Vi,Axgold,ban me idiot,Dagr,AlphaBraver,",https://na.op.gg/multi/query=
Slug eSports Red,West 4,/lol/teams/7094,Bronze 3,6,3,3,7,7,Silver 1,12,"['SushiHat74', 'Edywang', 'piwhallusk', 'Canpake27', 'Magickirill', 'The Dark Guy 13', 'iluvncis', 'Edgywang', 'Ryuyah', 'furydragon551', 'defective robot']","https://na.op.gg/multi/query=SushiHat74,Edywang,piwhallusk,Canpake27,Magickirill,The Dark Guy 13,iluvncis,Edgywang,Ryuyah,furydragon551,","https://na.op.gg/multi/query=defective robot,"
KansasState That tasted Purple,Midwest 6,/lol/teams/6370,Gold 3,14,5,2,10,4,Gold 2,15,"['0 Shyguy 0', 'Efam', 'Duckster', 'Adalintor', 'TheCrimsonFlare', 'MMin74', 'Karmabell', 'Thunderguy5767', 'Uncappedbeef6']","https://na.op.gg/multi/query=0 Shyguy 0,Efam,Duckster,Adalintor,TheCrimsonFlare,MMin74,Karmabell,Thunderguy5767,Uncappedbeef6,",https://na.op.gg/multi/query=
