name,team,region,rank,rankValue,op.gg
Ryzae,UHM Green,South-west | 4,Platinum 2,19,https://na.op.gg/summoner/userName=Ryzae
Jhineral,UHM Green,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=Jhineral
Nae hero,UHM Green,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Nae hero
Top the Dog,UHM Green,South-west | 4,Diamond 2,23,https://na.op.gg/summoner/userName=Top the Dog
Vöcàrê,UHM Green,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Vöcàrê
edgy eboy,UHM Green,South-west | 4,Platinum 2,19,https://na.op.gg/summoner/userName=edgy eboy
RickyDubs,UHM Green,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=RickyDubs
tofu tofu,UHM Green,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=tofu tofu
yukimochi,UHM Green,South-west | 4,Silver 2,11,https://na.op.gg/summoner/userName=yukimochi
SwitchNitch,GCU Lopes JV,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=SwitchNitch
Suffer More,GCU Lopes JV,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Suffer More
Ghetti,GCU Lopes JV,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Ghetti
Swagnar,GCU Lopes JV,South-west | 4,Platinum 1,20,https://na.op.gg/summoner/userName=Swagnar
skeletor321,GCU Lopes JV,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=skeletor321
TheRadDrew,GCU Lopes JV,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=TheRadDrew
Łuke,UA Ironcats - Open,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Łuke
BiggestDiqBandit,UA Ironcats - Open,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=BiggestDiqBandit
Clive7,UA Ironcats - Open,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Clive7
MegaEpicGamer,UA Ironcats - Open,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=MegaEpicGamer
Laelaps,UA Ironcats - Open,South-west | 4,Gold 1,16,https://na.op.gg/summoner/userName=Laelaps
artip71,UA Ironcats - Open,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=artip71
SOLOKOH,UA Ironcats - Open,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=SOLOKOH
The Skÿ,UA Ironcats - Open,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=The Skÿ
faime,UA Ironcats - Open,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=faime
teegan,UA Ironcats - Open,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=teegan
Mormon Ludicolo,The Legends of UVUJV,South-west | 4,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Mormon Ludicolo
JIMIN KO,The Legends of UVUJV,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=JIMIN KO
Slippedgiant755,The Legends of UVUJV,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=Slippedgiant755
SKT T1 WooSeok,The Legends of UVUJV,South-west | 4,Diamond 2,23,https://na.op.gg/summoner/userName=SKT T1 WooSeok
Dylax,The Legends of UVUJV,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=Dylax
NK Medraut,The Legends of UVUJV,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=NK Medraut
GlacialReaper,Claw JV Team,South-west | 4,Gold 1,16,https://na.op.gg/summoner/userName=GlacialReaper
crazipeng15,Claw JV Team,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=crazipeng15
TenaciousTahm,Claw JV Team,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=TenaciousTahm
WorldsBestPlayer,Claw JV Team,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=WorldsBestPlayer
PHD In Yasuo,Claw JV Team,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=PHD In Yasuo
Filo Shepherd,Claw JV Team,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=Filo Shepherd
I DR PEPPER U,Claw JV Team,South-west | 4,Platinum 1,20,https://na.op.gg/summoner/userName=I DR PEPPER U
Sol1tud3,USU JV,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=Sol1tud3
Cubstep Cantstop,USU JV,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=Cubstep Cantstop
SavageBeast0519,USU JV,South-west | 4,Silver 4,9,https://na.op.gg/summoner/userName=SavageBeast0519
King Babe T,USU JV,South-west | 4,Platinum 1,20,https://na.op.gg/summoner/userName=King Babe T
Cododraco,USU JV,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=Cododraco
TheEliteMadLife,USU JV,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=TheEliteMadLife
HIYAAAAAAAAAAAAA,Arizona State C,South-west | 4,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=HIYAAAAAAAAAAAAA
mikemilo135,Arizona State C,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=mikemilo135
Thetruejungler,Arizona State C,South-west | 4,Master,25,https://na.op.gg/summoner/userName=Thetruejungler
Red XP,Arizona State C,South-west | 4,Master,25,https://na.op.gg/summoner/userName=Red XP
Whosdisguy,Arizona State C,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Whosdisguy
Nisanov,Arizona State C,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Nisanov
yomihime,Arizona State C,South-west | 4,Diamond 2,23,https://na.op.gg/summoner/userName=yomihime
Call Me Dunk,Arizona State C,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Call Me Dunk
TRAKKPAD,NAU MalFighters,South-west | 4,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=TRAKKPAD
TheToxic35,NAU MalFighters,South-west | 4,Gold 4,13,https://na.op.gg/summoner/userName=TheToxic35
curseblood,NAU MalFighters,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=curseblood
GORZOGTHEDEFILER,NAU MalFighters,South-west | 4,Silver 4,9,https://na.op.gg/summoner/userName=GORZOGTHEDEFILER
ToxiclyLoud,NAU MalFighters,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=ToxiclyLoud
Tossed,NAU MalFighters,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=Tossed
PartyLord906,NAU MalFighters,South-west | 4,Unranked,0,https://na.op.gg/summoner/userName=PartyLord906
HighBionic,NAU MalFighters,South-west | 4,Gold 4,13,https://na.op.gg/summoner/userName=HighBionic
Oreo 129,ERAU Blue Wings,South-west | 4,Platinum 2,19,https://na.op.gg/summoner/userName=Oreo 129
jinxmyloveQAQ,ERAU Blue Wings,South-west | 4,Unranked,0,https://na.op.gg/summoner/userName=jinxmyloveQAQ
chowderzeclam,ERAU Blue Wings,South-west | 4,Gold 4,13,https://na.op.gg/summoner/userName=chowderzeclam
Ace75b,ERAU Blue Wings,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=Ace75b
ERGW Krønos,ERAU White Wings,South-west | 4,Platinum 1,20,https://na.op.gg/summoner/userName=ERGW Krønos
Isekavo,ERAU Blue Wings,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Isekavo
Expand Sand,ERAU Blue Wings,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=Expand Sand
Ghost Barrels,ERAU Blue Wings,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Ghost Barrels
KatsumiKoniko,ERAU Blue Wings,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=KatsumiKoniko
Nickodemeus,ERAU Blue Wings,South-west | 4,Silver 2,11,https://na.op.gg/summoner/userName=Nickodemeus
crashoverridee,Lopes Academy,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=crashoverridee
Seraphim117,Lopes Academy,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Seraphim117
Overlord123,Lopes Academy,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=Overlord123
ReasonToDream,Lopes Academy,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=ReasonToDream
Hoidini,Lopes Academy,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=Hoidini
sigh im gosu,Lopes Academy,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=sigh im gosu
Steel Draconian,Lopes Academy,South-west | 4,Gold 1,16,https://na.op.gg/summoner/userName=Steel Draconian
SupaBeans,CGC LOL JUNIOR VARSITY,South-west | 4,Unranked,0,https://na.op.gg/summoner/userName=SupaBeans
ROBOTUNIC0RN,CGC LOL JUNIOR VARSITY,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=ROBOTUNIC0RN
THICC MONEY,CGC LOL JUNIOR VARSITY,South-west | 4,Silver 1,12,https://na.op.gg/summoner/userName=THICC MONEY
KoreanRiceField,CGC LOL JUNIOR VARSITY,South-west | 4,Platinum 2,19,https://na.op.gg/summoner/userName=KoreanRiceField
retnuh hunter,CGC LOL JUNIOR VARSITY,South-west | 4,Platinum 1,20,https://na.op.gg/summoner/userName=retnuh hunter
Z0L,CGC LOL JUNIOR VARSITY,South-west | 4,Gold 4,13,https://na.op.gg/summoner/userName=Z0L
USC Bao,USC Varsity Gold Team,South-west | 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=USC Bao
Commack,USC Varsity Gold Team,South-west | 3,Platinum 1,20,https://na.op.gg/summoner/userName=Commack
Eilfennol,USC Varsity Gold Team,South-west | 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Eilfennol
USC Hovz,USC Varsity Gold Team,South-west | 3,Diamond 4,21,https://na.op.gg/summoner/userName=USC Hovz
