name,team,region,rank,rankValue,op.gg
Monsieur Seasalt,GMU Open League Team,East,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Monsieur Seasalt
MadPanda007,GMU Open League Team,East,Diamond 4,21,https://na.op.gg/summoner/userName=MadPanda007
Slugg0,GMU Open League Team,East,Unranked,0,https://na.op.gg/summoner/userName=Slugg0
grayy,GMU Open League Team,East,Diamond 3,22,https://na.op.gg/summoner/userName=grayy
Deathfire Grasp,GMU Open League Team,East,Platinum 3,18,https://na.op.gg/summoner/userName=Deathfire Grasp
Cydesus,GMU Open League Team,East,Diamond 4,21,https://na.op.gg/summoner/userName=Cydesus
Surej,GMU Open League Team,East,Diamond 3,22,https://na.op.gg/summoner/userName=Surej
Runkified,GMU Open League Team,East,Platinum 4,17,https://na.op.gg/summoner/userName=Runkified
ILVBOBA,GMU Open League Team,East,Platinum 3,18,https://na.op.gg/summoner/userName=ILVBOBA
Chengz,GMU Open League Team,East,Diamond 4,21,https://na.op.gg/summoner/userName=Chengz
SirLongstride,GMU Open League Team,East,Platinum 2,19,https://na.op.gg/summoner/userName=SirLongstride
SwitchNitch,GCU Lopes JV,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=SwitchNitch
Suffer More,GCU Lopes JV,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Suffer More
Ghetti,GCU Lopes JV,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Ghetti
Swagnar,GCU Lopes JV,South-west | 4,Platinum 1,20,https://na.op.gg/summoner/userName=Swagnar
skeletor321,GCU Lopes JV,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=skeletor321
TheRadDrew,GCU Lopes JV,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=TheRadDrew
GVSU Chad,GVSU Laker Legends B Team,North-east | 2,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=GVSU Chad
MIkeTheDemonic,GVSU Laker Legends B Team,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=MIkeTheDemonic
boc,GVSU Laker Legends B Team,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=boc
xAGEofMYTHx,GVSU Laker Legends B Team,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=xAGEofMYTHx
rk231,GVSU Laker Legends B Team,North-east | 2,Gold 4,13,https://na.op.gg/summoner/userName=rk231
KiwiSocks,GVSU Laker Legends B Team,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=KiwiSocks
FFZedIsFed,GVSU Laker Legends B Team,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=FFZedIsFed
cookie52002,GVSU Laker Legends B Team,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=cookie52002
Tillo,GVSU Laker Legends B Team,North-east | 2,Gold 1,16,https://na.op.gg/summoner/userName=Tillo
Whalis,GVSU Laker Legends B Team,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Whalis
Neiman,UTA Esports Aurora,Central | 4,Diamond 4,21,https://na.op.gg/summoner/userName=Neiman
CeIeb,UTA Esports Aurora,Central | 4,Diamond 4,21,https://na.op.gg/summoner/userName=CeIeb
Semper Amicissim,UTA Esports Aurora,Central | 4,Platinum 4,17,https://na.op.gg/summoner/userName=Semper Amicissim
RebornDominator,UTA Esports Aurora,Central | 4,Diamond 4,21,https://na.op.gg/summoner/userName=RebornDominator
jabbR,UTA Esports Aurora,Central | 4,Platinum 4,17,https://na.op.gg/summoner/userName=jabbR
Taste of Italy,UTA Esports Aurora,Central | 4,Diamond 1,24,https://na.op.gg/summoner/userName=Taste of Italy
Sir Squeeble II,UTA Esports Aurora,Central | 4,Platinum 4,17,https://na.op.gg/summoner/userName=Sir Squeeble II
EmadTheTurk,UTA Esports Aurora,Central | 4,Diamond 3,22,https://na.op.gg/summoner/userName=EmadTheTurk
SilverPerry,UTA Esports Aurora,Central | 4,Platinum 2,19,https://na.op.gg/summoner/userName=SilverPerry
Stewfish,Shenzi's Frenzies,North-east | 5,Platinum 1,20,https://na.op.gg/summoner/userName=Stewfish
29rosebud,Shenzi's Frenzies,North-east | 5,Platinum 2,19,https://na.op.gg/summoner/userName=29rosebud
DezQue,Shenzi's Frenzies,North-east | 5,Platinum 2,19,https://na.op.gg/summoner/userName=DezQue
Dudebay,Shenzi's Frenzies,North-east | 5,Diamond 3,22,https://na.op.gg/summoner/userName=Dudebay
ThatOneDan,Shenzi's Frenzies,North-east | 5,Platinum 3,18,https://na.op.gg/summoner/userName=ThatOneDan
Blue Psyduck,Shenzi's Frenzies,North-east | 5,Gold 3,14,https://na.op.gg/summoner/userName=Blue Psyduck
CloneEngi,Shenzi's Frenzies,North-east | 5,Diamond 4,21,https://na.op.gg/summoner/userName=CloneEngi
Vinçent,Shenzi's Frenzies,North-east | 5,Diamond 4,21,https://na.op.gg/summoner/userName=Vinçent
Snowﬂake,Malefic Visions,North-east | 1,Platinum 2,19,https://na.op.gg/summoner/userName=Snowﬂake
Towd47,Malefic Visions,North-east | 1,Diamond 3,22,https://na.op.gg/summoner/userName=Towd47
Hiratechi,Malefic Visions,North-east | 1,Diamond 1,24,https://na.op.gg/summoner/userName=Hiratechi
lil kahuna,Malefic Visions,North-east | 1,Platinum 1,20,https://na.op.gg/summoner/userName=lil kahuna
helper08,Malefic Visions,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=helper08
ok that was epic,Malefic Visions,North-east | 1,Platinum 1,20,https://na.op.gg/summoner/userName=ok that was epic
KartGu,Malefic Visions,North-east | 1,Diamond 2,23,https://na.op.gg/summoner/userName=KartGu
sammystinky,Malefic Visions,North-east | 1,Diamond 2,23,https://na.op.gg/summoner/userName=sammystinky
Digimonlove,Malefic Visions,North-east | 1,Diamond 3,22,https://na.op.gg/summoner/userName=Digimonlove
Scotiabank,SFU Open League,North-west | 2,Platinum 2,19,https://na.op.gg/summoner/userName=Scotiabank
Souliess,SFU Open League,North-west | 2,Diamond 3,22,https://na.op.gg/summoner/userName=Souliess
the84io,SFU Open League,North-west | 2,Diamond 4,21,https://na.op.gg/summoner/userName=the84io
pul,SFU Open League,North-west | 2,Platinum 4,17,https://na.op.gg/summoner/userName=pul
SupremeKangaroo,SFU Open League,North-west | 2,Diamond 4,21,https://na.op.gg/summoner/userName=SupremeKangaroo
hi im hungry,SFU Open League,North-west | 2,Diamond 4,21,https://na.op.gg/summoner/userName=hi im hungry
aMayZheng,SFU Open League,North-west | 2,Diamond 4,21,https://na.op.gg/summoner/userName=aMayZheng
i am wei,SFU Open League,North-west | 2,Diamond 3,22,https://na.op.gg/summoner/userName=i am wei
Xelsaid,ETS Frost,North-east | 8,Diamond 4,21,https://na.op.gg/summoner/userName=Xelsaid
Pereira04,ETS Frost,North-east | 8,Diamond 4,21,https://na.op.gg/summoner/userName=Pereira04
WoldieNA,ETS Frost,North-east | 8,Platinum 3,18,https://na.op.gg/summoner/userName=WoldieNA
Senketsu13,ETS Frost,North-east | 8,Diamond 2,23,https://na.op.gg/summoner/userName=Senketsu13
Poussifeu,ETS Frost,North-east | 8,Diamond 3,22,https://na.op.gg/summoner/userName=Poussifeu
ƒencekeeper,ETS Frost,North-east | 8,Diamond 3,22,https://na.op.gg/summoner/userName=ƒencekeeper
Derry,Team Pepega,North | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Derry
Tellur,Team Pepega,North | 1,Diamond 2,23,https://na.op.gg/summoner/userName=Tellur
ooogaboooga,Team Pepega,North | 1,Diamond 4,21,https://na.op.gg/summoner/userName=ooogaboooga
AuDigger,Team Pepega,North | 1,Diamond 3,22,https://na.op.gg/summoner/userName=AuDigger
Outlet,Team Pepega,North | 1,Diamond 3,22,https://na.op.gg/summoner/userName=Outlet
AlienMV,UCR PARADOX,South-west | 3,Diamond 4,21,https://na.op.gg/summoner/userName=AlienMV
Sad Sloth,UCR PARADOX,South-west | 3,Gold 1,16,https://na.op.gg/summoner/userName=Sad Sloth
Rolandwu,UCR PARADOX,South-west | 3,Diamond 4,21,https://na.op.gg/summoner/userName=Rolandwu
Głace,UCR PARADOX,South-west | 3,Diamond 2,23,https://na.op.gg/summoner/userName=Głace
180cm,UCR PARADOX,South-west | 3,Silver 1,12,https://na.op.gg/summoner/userName=180cm
Destined Rice,UCR PARADOX,South-west | 3,Diamond 4,21,https://na.op.gg/summoner/userName=Destined Rice
Alceous,UCR PARADOX,South-west | 3,Diamond 4,21,https://na.op.gg/summoner/userName=Alceous
im in love,UCR PARADOX,South-west | 3,Diamond 4,21,https://na.op.gg/summoner/userName=im in love
HIYAAAAAAAAAAAAA,Arizona State C,South-west | 4,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=HIYAAAAAAAAAAAAA
mikemilo135,Arizona State C,South-west | 4,Diamond 4,21,https://na.op.gg/summoner/userName=mikemilo135
Thetruejungler,Arizona State C,South-west | 4,Master,25,https://na.op.gg/summoner/userName=Thetruejungler
Red XP,Arizona State C,South-west | 4,Master,25,https://na.op.gg/summoner/userName=Red XP
Whosdisguy,Arizona State C,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Whosdisguy
Nisanov,Arizona State C,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Nisanov
yomihime,Arizona State C,South-west | 4,Diamond 2,23,https://na.op.gg/summoner/userName=yomihime
Call Me Dunk,Arizona State C,South-west | 4,Diamond 3,22,https://na.op.gg/summoner/userName=Call Me Dunk
The Midget Cow,Stockton Ospreys,North-east | 5,Diamond 4,21,https://na.op.gg/summoner/userName=The Midget Cow
The Fire Ferret,Stockton Ospreys,North-east | 5,Diamond 4,21,https://na.op.gg/summoner/userName=The Fire Ferret
A Nice Ward,Stockton Ospreys,North-east | 5,Diamond 3,22,https://na.op.gg/summoner/userName=A Nice Ward
shiyori7,Stockton Ospreys,North-east | 5,Gold 1,16,https://na.op.gg/summoner/userName=shiyori7
Boozie,Stockton Ospreys,North-east | 5,Platinum 2,19,https://na.op.gg/summoner/userName=Boozie
Kaybun,Stockton Ospreys,North-east | 5,Platinum 4,17,https://na.op.gg/summoner/userName=Kaybun
Appä,Stockton Ospreys,North-east | 5,Diamond 3,22,https://na.op.gg/summoner/userName=Appä
Aureu,Stockton Ospreys,North-east | 5,Platinum 4,17,https://na.op.gg/summoner/userName=Aureu
Jitoki,LSU Silver,Central | 3,Diamond 2,23,https://na.op.gg/summoner/userName=Jitoki
YourGynecologist,LSU Silver,Central | 3,Unranked,0,https://na.op.gg/summoner/userName=YourGynecologist
ına,LSU Silver,Central | 3,Platinum 2,19,https://na.op.gg/summoner/userName=ına
Zycotel,LSU Silver,Central | 3,Master,25,https://na.op.gg/summoner/userName=Zycotel
Blanket Robber,LSU Silver,Central | 3,Diamond 3,22,https://na.op.gg/summoner/userName=Blanket Robber
bauspanda,LSU Silver,Central | 3,Platinum 4,17,https://na.op.gg/summoner/userName=bauspanda
Łuke,UA Ironcats - Open,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Łuke
BiggestDiqBandit,UA Ironcats - Open,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=BiggestDiqBandit
Clive7,UA Ironcats - Open,South-west | 4,Platinum 3,18,https://na.op.gg/summoner/userName=Clive7
MegaEpicGamer,UA Ironcats - Open,South-west | 4,Gold 3,14,https://na.op.gg/summoner/userName=MegaEpicGamer
Laelaps,UA Ironcats - Open,South-west | 4,Gold 1,16,https://na.op.gg/summoner/userName=Laelaps
artip71,UA Ironcats - Open,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=artip71
SOLOKOH,UA Ironcats - Open,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=SOLOKOH
The Skÿ,UA Ironcats - Open,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=The Skÿ
faime,UA Ironcats - Open,South-west | 4,Gold 2,15,https://na.op.gg/summoner/userName=faime
teegan,UA Ironcats - Open,South-west | 4,Platinum 4,17,https://na.op.gg/summoner/userName=teegan
Zedimental,WLU - OpenLeague,North | 1,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Zedimental
4obl,WLU - OpenLeague,North | 1,Platinum 1,20,https://na.op.gg/summoner/userName=4obl
BigWBurton,WLU - OpenLeague,North | 1,Diamond 4,21,https://na.op.gg/summoner/userName=BigWBurton
Kaemi,WLU - OpenLeague,North | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Kaemi
JewishWanabe,WLU - OpenLeague,North | 1,Platinum 4,17,https://na.op.gg/summoner/userName=JewishWanabe
VKC,WLU - OpenLeague,North | 1,Gold 2,15,https://na.op.gg/summoner/userName=VKC
Reehahs,WLU - OpenLeague,North | 1,Platinum 4,17,https://na.op.gg/summoner/userName=Reehahs
nice icon,WLU - OpenLeague,North | 1,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=nice icon
Necrodra,WLU - OpenLeague,North | 1,Platinum 4,17,https://na.op.gg/summoner/userName=Necrodra
FlamingMonkey77,WLU - OpenLeague,North | 1,Platinum 3,18,https://na.op.gg/summoner/userName=FlamingMonkey77
PenguinsAreCute,WLU - OpenLeague,North | 1,Platinum 4,17,https://na.op.gg/summoner/userName=PenguinsAreCute
RZJ,WLU - OpenLeague,North | 1,Platinum 4,17,https://na.op.gg/summoner/userName=RZJ
Vandrax,WLU - OpenLeague,North | 1,Platinum 4,17,https://na.op.gg/summoner/userName=Vandrax
Miss Son Naeun,CSULB JV ONE,South-west | 2,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Miss Son Naeun
DeadlyNinja,CSULB JV ONE,South-west | 2,Diamond 4,21,https://na.op.gg/summoner/userName=DeadlyNinja
ItsTheSentinel,CSULB JV ONE,South-west | 2,Diamond 3,22,https://na.op.gg/summoner/userName=ItsTheSentinel
BounceBackSlayer,CSULB JV ONE,South-west | 2,Platinum 4,17,https://na.op.gg/summoner/userName=BounceBackSlayer
LeSweetestSenpai,CSULB JV ONE,South-west | 2,Gold 3,14,https://na.op.gg/summoner/userName=LeSweetestSenpai
Lvl98 Shuckle,CSULB JV ONE,South-west | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Lvl98 Shuckle
BazookaBubblegum,CSULB JV ONE,South-west | 2,Platinum 2,19,https://na.op.gg/summoner/userName=BazookaBubblegum
JDCRamos,CSULB JV ONE,South-west | 2,Platinum 2,19,https://na.op.gg/summoner/userName=JDCRamos
Cheet0h,CSULB JV ONE,South-west | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Cheet0h
