teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
UHM Green,South-west | 4,/lol/teams/10567,Platinum 1,20,6,0,12,1,Diamond 3,22,"['Jhineral', 'Ryzae', 'Top the Dog', 'edgy eboy', 'Vöcàrê', 'tofu tofu', 'Nae hero', 'yukimochi', 'RickyDubs']","https://na.op.gg/multi/query=Jhineral,Ryzae,Top the Dog,edgy eboy,Vöcàrê,tofu tofu,Nae hero,yukimochi,RickyDubs,",https://na.op.gg/multi/query=
GCU Lopes JV,South-west | 4,/lol/teams/9792,Platinum 1,20,6,0,12,1,Platinum 1,20,"['Swagnar', 'skeletor321', 'SwitchNitch', 'TheRadDrew', 'Suffer More', 'Ghetti']","https://na.op.gg/multi/query=Swagnar,skeletor321,SwitchNitch,TheRadDrew,Suffer More,Ghetti,",https://na.op.gg/multi/query=
UA Ironcats - Open,South-west | 4,/lol/teams/10019,Platinum 4,17,5,1,11,2,Platinum 3,18,"['Laelaps', 'SOLOKOH', 'Clive7', 'The Skÿ', 'teegan', 'Łuke', 'artip71', 'BiggestDiqBandit', 'faime', 'MegaEpicGamer']","https://na.op.gg/multi/query=Laelaps,SOLOKOH,Clive7,The Skÿ,teegan,Łuke,artip71,BiggestDiqBandit,faime,MegaEpicGamer,",https://na.op.gg/multi/query=
The Legends of UVUJV,South-west | 4,/lol/teams/10384,Platinum 4,17,4,3,10,6,Platinum 1,20,"['Slippedgiant755', 'Dylax', 'Mormon Ludicolo', 'SKT T1 WooSeok', 'NK Medraut', 'JIMIN KO']","https://na.op.gg/multi/query=Slippedgiant755,Dylax,Mormon Ludicolo,SKT T1 WooSeok,NK Medraut,JIMIN KO,",https://na.op.gg/multi/query=
Claw JV Team,South-west | 4,/lol/teams/10965,Platinum 4,17,4,3,9,6,Platinum 3,18,"['Filo Shepherd', 'GlacialReaper', 'crazipeng15', 'TenaciousTahm', 'PHD In Yasuo', 'WorldsBestPlayer', 'I DR PEPPER U']","https://na.op.gg/multi/query=Filo Shepherd,GlacialReaper,crazipeng15,TenaciousTahm,PHD In Yasuo,WorldsBestPlayer,I DR PEPPER U,",https://na.op.gg/multi/query=
USU JV,South-west | 4,/lol/teams/10261,Gold 1,16,4,3,8,7,Platinum 3,18,"['King Babe T', 'Cododraco', 'TheEliteMadLife', 'Sol1tud3', 'Cubstep Cantstop', 'SavageBeast0519']","https://na.op.gg/multi/query=King Babe T,Cododraco,TheEliteMadLife,Sol1tud3,Cubstep Cantstop,SavageBeast0519,",https://na.op.gg/multi/query=
Arizona State C,South-west | 4,/lol/teams/11231,Platinum 1,20,4,2,8,5,Diamond 1,24,"['mikemilo135', 'Whosdisguy', 'yomihime', 'Call Me Dunk', 'Thetruejungler', 'Red XP', 'Nisanov', 'HIYAAAAAAAAAAAAA']","https://na.op.gg/multi/query=mikemilo135,Whosdisguy,yomihime,Call Me Dunk,Thetruejungler,Red XP,Nisanov,HIYAAAAAAAAAAAAA,",https://na.op.gg/multi/query=
NAU Division Two Fall,South-west | 4,/lol/teams/9245,Silver 3,10,3,3,6,7,Gold 2,15,"['TRAKKPAD', 'TheToxic35', 'ToxiclyLoud', 'Tossed', 'curseblood', 'GORZOGTHEDEFILER', 'HighBionic', 'PartyLord906']","https://na.op.gg/multi/query=TRAKKPAD,TheToxic35,ToxiclyLoud,Tossed,curseblood,GORZOGTHEDEFILER,HighBionic,PartyLord906,",https://na.op.gg/multi/query=
ERAU Blue Wings,South-west | 4,/lol/teams/4003,Gold 2,15,2,4,5,8,Platinum 2,19,"['Oreo 129', 'Ace75b', 'KatsumiKoniko', 'Expand Sand', 'ERGW Krønos', 'chowderzeclam', 'jinxmyloveQAQ', 'Ghost Barrels', 'Nickodemeus', 'Isekavo']","https://na.op.gg/multi/query=Oreo 129,Ace75b,KatsumiKoniko,Expand Sand,ERGW Krønos,chowderzeclam,jinxmyloveQAQ,Ghost Barrels,Nickodemeus,Isekavo,",https://na.op.gg/multi/query=
Lopes Academy,South-west | 4,/lol/teams/9793,Platinum 4,17,2,5,4,11,Platinum 4,17,"['crashoverridee', 'Hoidini', 'Overlord123', 'ReasonToDream', 'sigh im gosu', 'Steel Draconian', 'Seraphim117']","https://na.op.gg/multi/query=crashoverridee,Hoidini,Overlord123,ReasonToDream,sigh im gosu,Steel Draconian,Seraphim117,",https://na.op.gg/multi/query=
