Region Name,All Teams,All Teams #,2 Best Teams,2 Best Teams #,4 Best Teams,4 Best Teams #,6 Best Teams,6 Best Teams #,8 Best Teams,8 Best Teams #,10 Best Teams,10 Best Teams #
South-west | 4,Bronze 3,6,Silver 1,12,Silver 2,11,Silver 3,10,Silver 4,9,Bronze 2,7
South-west | 3,Iron 2,3,Silver 3,10,Bronze 1,8,Bronze 3,6,Bronze 4,5,Iron 1,4
South-west | 2,Bronze 3,6,Gold 2,15,Gold 4,13,Silver 3,10,Silver 4,9,Bronze 1,8
South-west | 1,Bronze 4,5,Gold 3,14,Silver 3,10,Bronze 1,8,Bronze 2,7,Bronze 3,6
South-east | 2,Bronze 4,5,Gold 2,15,Silver 2,11,Silver 4,9,Bronze 2,7,Bronze 3,6
South-east | 1,Bronze 3,6,Gold 3,14,Silver 1,12,Silver 2,11,Silver 4,9,Bronze 1,8
North-west | 2,Iron 1,4,Gold 4,13,Silver 3,10,Bronze 1,8,Bronze 3,6,Bronze 4,5
North-west | 1,Bronze 3,6,Silver 1,12,Silver 2,11,Silver 2,11,Silver 4,9,Bronze 2,7
North-east | 8,Bronze 4,5,Gold 3,14,Silver 1,12,Silver 3,10,Bronze 1,8,Bronze 2,7
North-east | 7,Bronze 4,5,Silver 2,11,Silver 4,9,Bronze 1,8,Bronze 2,7,Bronze 3,6
North-east | 6,Bronze 3,6,Gold 4,13,Silver 2,11,Silver 3,10,Silver 4,9,Bronze 1,8
North-east | 5,Bronze 3,6,Silver 1,12,Silver 2,11,Silver 4,9,Bronze 1,8,Bronze 2,7
North-east | 4,Bronze 4,5,Gold 3,14,Silver 2,11,Silver 3,10,Bronze 1,8,Bronze 2,7
North-east | 3,Bronze 4,5,Gold 3,14,Silver 1,12,Silver 3,10,Bronze 1,8,Bronze 2,7
North-east | 2,Bronze 3,6,Gold 4,13,Silver 1,12,Silver 3,10,Silver 4,9,Bronze 1,8
North-east | 1,Silver 4,9,Gold 2,15,Gold 2,15,Gold 3,14,Gold 4,13,Silver 2,11
North | 1,Iron 1,4,Gold 2,15,Silver 2,11,Bronze 1,8,Bronze 3,6,Bronze 4,5
East,Bronze 2,7,Gold 3,14,Gold 4,13,Silver 2,11,Silver 3,10,Silver 4,9
Central | 6,Iron 1,4,Gold 4,13,Silver 3,10,Bronze 1,8,Bronze 3,6,Bronze 4,5
Central | 5,Bronze 1,8,Gold 3,14,Gold 3,14,Gold 4,13,Silver 1,12,Silver 3,10
Central | 4,Bronze 3,6,Gold 3,14,Gold 4,13,Silver 2,11,Silver 3,10,Bronze 1,8
Central | 3,Bronze 3,6,Gold 2,15,Gold 4,13,Silver 2,11,Silver 4,9,Bronze 1,8
Central | 2,Bronze 2,7,Gold 2,15,Gold 3,14,Silver 1,12,Silver 3,10,Silver 4,9
Central | 1,Bronze 1,8,Gold 4,13,Silver 1,12,Silver 1,12,Silver 2,11,Silver 3,10
