Region Name,All Teams,All Teams #,2 Best Teams,2 Best Teams #,4 Best Teams,4 Best Teams #,6 Best Teams,6 Best Teams #,8 Best Teams,8 Best Teams #,10 Best Teams,10 Best Teams #
South-west | 3,Iron 2,3,Bronze 1,8,Bronze 2,7,Bronze 3,6,Bronze 4,5,Iron 1,4
South-west | 2,Iron 3,2,Bronze 2,7,Bronze 4,5,Iron 1,4,Iron 2,3,Iron 3,2
South-west | 1,Bronze 3,6,Gold 4,13,Silver 2,11,Silver 4,9,Bronze 1,8,Bronze 2,7
South-east | 2,Iron 1,4,Gold 4,13,Silver 3,10,Bronze 1,8,Bronze 3,6,Bronze 4,5
South-east | 1,Iron 1,4,Silver 2,11,Silver 3,10,Bronze 1,8,Bronze 3,6,Bronze 4,5
South-central | 2,Iron 1,4,Gold 4,13,Silver 2,11,Bronze 1,8,Bronze 2,7,Bronze 4,5
South-central | 1,Iron 1,4,Silver 2,11,Silver 4,9,Bronze 2,7,Bronze 3,6,Iron 1,4
North-west,Iron 2,3,Silver 4,9,Bronze 2,7,Bronze 4,5,Iron 1,4,Iron 2,3
North-east | 8,Iron 4,1,Bronze 3,6,Iron 1,4,Iron 2,3,Iron 3,2,Iron 3,2
North-east | 7,Iron 3,2,Bronze 3,6,Bronze 4,5,Iron 2,3,Iron 2,3,Iron 3,2
North-east | 6,Iron 2,3,Silver 3,10,Bronze 2,7,Bronze 3,6,Bronze 4,5,Iron 1,4
North-east | 5,Iron 1,4,Gold 4,13,Silver 1,12,Silver 4,9,Bronze 2,7,Bronze 4,5
North-east | 4,Iron 1,4,Silver 1,12,Silver 4,9,Bronze 2,7,Bronze 3,6,Iron 1,4
North-east | 3,Iron 3,2,Silver 1,12,Bronze 2,7,Bronze 4,5,Iron 1,4,Iron 2,3
North-east | 2,Iron 2,3,Bronze 1,8,Bronze 3,6,Bronze 4,5,Bronze 4,5,Iron 1,4
North-east | 1,Bronze 4,5,Silver 1,12,Silver 3,10,Bronze 1,8,Bronze 2,7,Bronze 4,5
East | 2,Bronze 3,6,Gold 3,14,Gold 4,13,Silver 2,11,Bronze 1,8,Bronze 2,7
East | 1,Iron 2,3,Silver 4,9,Bronze 3,6,Bronze 4,5,Iron 1,4,Iron 2,3
Central | 3,Bronze 4,5,Silver 2,11,Silver 3,10,Silver 4,9,Bronze 2,7,Bronze 3,6
Central | 2,Iron 1,4,Silver 3,10,Silver 3,10,Bronze 1,8,Bronze 3,6,Bronze 4,5
Central | 1,Bronze 4,5,Gold 3,14,Silver 2,11,Silver 4,9,Bronze 1,8,Bronze 3,6
